1801384;1;3;Marvelous Designer od podstaw - Symulacje tkanin;kurs-marvelous-designer-od-podstaw-symulacje-tkanin;Chcesz nauczyć się tworzyć realistyczne modele 3d tkanin takich jak zasłony poduszki koce kołdry i wiele innych?;379,99;https://img-a.udemycdn.com/course/480x270/1801384_dc47.jpg?ej5bHw4OuoDWJen86yigG5bw2EkjF3Je-Tr2voZQh-BfyhBgSL4e_KOY1JkjJifdQ7KGGaHhaHR8tHpzdzNZSbrdITeLmnc6mY0p0X3yGaqTbWI7N31RGH56XJ_BQA
2603122;1;3;Kurs Blender wizualizacja mieszkania;kurs-blender-wizualizacja-mieszkania;Przekonaj się jaki potencjał drzemie w tym programie i zobacz że może on konkurować z płatnymi odpowiednikami.;84,99;https://img-a.udemycdn.com/course/480x270/2603122_f6a8_2.jpg?63y_zCQKEdbUelkGmOEb6VVELIdVcYRuOjYxG0UKxz-9Ul2q8b3G32wioDCxV8YlNH-0tybxBJ55cxyQgZObF5i-Azer5iEmnCkgPXxG_kxh5BI910qyHC8lB-hBzSdS
2601736;1;3;Kurs jak stworzyć explainer video reklamowy;kurs-jak-stworzyc-explainer-video-reklamowy;W kursie przebrniesz przez proces projektowania zaczynając od stworzenia pakietu wektorów w programie Illustrator. Nastę;84,99;https://img-a.udemycdn.com/course/480x270/2601736_c684_2.jpg?BCq9mQZtiFtjra_Roa6ZgEptqxuDB7iWsxiCAROuRypw6Q079hTstoY3xUX9_io27XrQ1X62cQo_GYp-Gjy6o67Hoh1jYriKT2MZOiqKqNLXq4rp1kSvJauab67oY3Ui
2588916;1;3;Kurs Blender fotorealistyczne pojazdy;kurs-blender-fotorealistyczne-pojazdy;Ponad 15 godzinny kurs na temat modelowania i teksturowania fotorealistycznej sceny w Blenderze.;69,99;https://img-a.udemycdn.com/course/480x270/2588916_d618_2.jpg?oJt3F3Wk9UFk2-heDGBxxBwtveNK-tlIdGbM2SsFKKabyUbin77E6BMw2VPeJadam25xbE7ykeIBmY3gW-X-tmUbAGHtV8mECKAZXdzBE4MSpiBcFfadbs7C7cOCVVNQ
2913924;1;3;Kurs Cinema 4d oraz Vray - fundamenty;kurs-cinema-4d-oraz-vray-fundamenty;Poznaj podstawowe techniki tworzenia modeli oraz animacji za pomocą Cinema 4D oraz silnika V-ray;129,99;https://img-a.udemycdn.com/course/480x270/2913924_58a9.jpg?f4ygxlOw2bMscL39nQjVleGqJsie3hZgUS2zkp6LqaM7eAtxaaQ2kfsWPZAzkct6oqlGJ2INrk7PB5vI2NWVJn4GDTy1ikflwe6HZvDqeWLaxvCjkzvKIfaHtBu1zA
2587236;1;3;Kurs Cinema 4d grafika izometryczna;kurs-cinema-4d-grafika-izometryczna;Ten kompleksowy przewodnik pomoże Ci stworzyć piękne izometryczne sceny za pomocą Cinema 4d. Tego typu rodzaj grafiki je;69,99;https://img-a.udemycdn.com/course/480x270/2587236_60c3_3.jpg?UFxhFjuUJvr5lL78NEbl_Qf-cDygDdOiCNVKF556Ok5ZOR_lHbsqebg-ydZFwBKfblFnnb6F-EWKPFfCw4CA2tCuOBrqVSSppb-xoLFTXM-pRu5cJfikeWcGn8rPf2c0
3480890;1;3;Kurs Zbrush kompendium;kurs-zbrush-kompendium;Naucz się niezbędnych technik pracy w programie Zbrush.;159,99;https://img-b.udemycdn.com/course/480x270/3480890_ea09.jpg?secure=sO4YO0cgrXKHVYYXK4NODA%3D%3D%2C1607867133
1941834;1;3;Kurs Blender;kurs-blender;Podstawy;99,99;https://img-b.udemycdn.com/course/480x270/1941834_48d3.jpg?secure=nSoendw8KfAorlRv1jPr5g%3D%3D%2C1607867133
2603112;1;3;Kurs Cinema 4d - animacja i motion design;kurs-cinema-4d-animacja-i-motion-design;Kurs który dla Ciebie przygotowaliśmy przedstawia większość z bardziej popularnych technik tworzenia efektów specjalnyc;99,99;https://img-b.udemycdn.com/course/480x270/2603112_f267_3.jpg?secure=20nRqinyIgFjW5vWLqan1Q%3D%3D%2C1607867134
2718828;1;4;Podstawy RACHUNKOWOŚCI od Zera do Buchaltera początkującego;kurs-podstaw-rachunkowosci;Księgowy to konkretny zawód otwierający wiele możliwości: oprócz pracy w Księgowości i Finansach także start w Biznesie;99,99;https://img-a.udemycdn.com/course/480x270/2718828_57c2_5.jpg?EYs3912fiDKNcMeaDAQ_WHZSmg1-IFrD59wXsA_wodR2JTA1ubtXNpVOfgR4WVOBfDUl8qG6nMVd27ggYtEi2ZdlsqK_ef8uoTT2-RgLyS8O6g5FOqQIh_32eMjBQOQT
3646787;1;6;Marketing afiliacyjny 101;marketing-afiliacyjny-101-dla-poczatkujacych;Czym jest marketing afiliacyjny jak działa i jak można na nim zarobić. 20 lat doświadczenia w jednym kursie.;69,99;https://img-a.udemycdn.com/course/480x270/3646787_2052.jpg?c9rbXGZ0dJVeLVP8QzeImd98Eqx8hR_GB2aVGRNo31jk0nTN8NInDocWXUc6yTXxC5pEs1cinJrJN1S2oHHx0rVVyE9pgd4ENCR6DBUw90-tv-2NjdcOOybUi0gNow
2602122;1;7;Final Cut Pro X  -  Sprawna i Szybka Edycja Wideo - Polski;final-cut-pro-sprawna-i-szybka-edycja-wideo;Stwórz własne filmy w szybkim i efektywnym  programie dzięki praktycznym wskazówkom. Kurs po polsku.;69,99;https://img-b.udemycdn.com/course/480x270/2602122_55ab.jpg?secure=4iJds_z7ezBVAQbzVPhL4A%3D%3D%2C1607867137
1465716;1;8;Kurs tworzenia planów i wizualizacji nieruchomości;kurs-tworzenia-planow-i-wizualizacji-nieruchomosci;z wykorzystaniem bezpłatnego oprogramowania;84,99;https://img-a.udemycdn.com/course/480x270/1465716_02a4_2.jpg?Veqj3O3q8FKvPb38HEvJ2dEPXtA5ng6i67D1ulLQF6YWlVNoJ1p9jz_V3xy2zca9AusHnQdM7FkeeNTJcb-9LBattSzOf0_poScTO1PcKAw5nemPMwfPfaKeP3su74Yf
3385030;1;8;Twinmotion od Podstaw - Rendering Projektowanie Architekt;twinmotion-od-podstaw;Aranżacja wnętrz Rendering Real-Time oraz Funkcjonalność Twinmotion przy użyciu Plug-inów Sketchup;69,99;https://img-a.udemycdn.com/course/480x270/3385030_d0d2_3.jpg?ZXbq8UVEZeaLWvvRfgjz4hFFPH95DTOCfDJHFobGwFUF7CfX-e5cMFK48ibJC_rIC2RYH9xaXiQSBocYYj7hG9LE6MGxv31O30Jeo_x9GsCSTfKC4-k50lM5XwEhIDJ8
2641206;1;8;Kurs Autodesk Inventor 2019 dla początkujących;kurs-autodesk-inventor-2019-dla-poczatkujacych;Naucz się Inventora od zera. Poznaj program aby tworzyć własne projekty.;99,99;https://img-a.udemycdn.com/course/480x270/2641206_bdde.jpg?S2dCITd86xFi6ea-nH7zb_EGsvab71SWBtm4y2rk6w0fpAbNSY9E7eG4FEu1mXbZyL2LsWUEF_mD8C5TwSQbccsY2PBeZL-9rQ-xF4Sk60Ta5KJHJNYteWVOPfjBvg
