id;active;category_id;title;slug;headline;price;image
2601736;1;3;Kurs jak stworzyć explainer video reklamowy;kurs-jak-stworzyc-explainer-video-reklamowy;W kursie przebrniesz przez proces projektowania zaczynając od stworzenia pakietu wektorów w programie Illustrator. Nastę;84,99;https://img-a.udemycdn.com/course/480x270/2601736_c684_2.jpg?BCq9mQZtiFtjra_Roa6ZgEptqxuDB7iWsxiCAROuRypw6Q079hTstoY3xUX9_io27XrQ1X62cQo_GYp-Gjy6o67Hoh1jYriKT2MZOiqKqNLXq4rp1kSvJauab67oY3Ui
2588916;1;3;Kurs Blender fotorealistyczne pojazdy;kurs-blender-fotorealistyczne-pojazdy;Ponad 15 godzinny kurs na temat modelowania i teksturowania fotorealistycznej sceny w Blenderze.;69,99;https://img-a.udemycdn.com/course/480x270/2588916_d618_2.jpg?oJt3F3Wk9UFk2-heDGBxxBwtveNK-tlIdGbM2SsFKKabyUbin77E6BMw2VPeJadam25xbE7ykeIBmY3gW-X-tmUbAGHtV8mECKAZXdzBE4MSpiBcFfadbs7C7cOCVVNQ
1945784;1;3;Kurs Adobe After Effects Techniki Zaawansowane;kurs-adobe-after-effects-techniki-zaawansowane;Wyższy poziom efektów specjalnych;114,99;https://img-b.udemycdn.com/course/480x270/1945784_c4c4.jpg?secure=XKDvag3T1jtaN60AokHLIA%3D%3D%2C1607881530
1788068;1;3;Kurs CrazyTalk animator - animowana postać;kurs-crazytalk-animator-animowana-postac;Profesjonalna animacja przy minimalnym nakładzie;69,99;https://img-a.udemycdn.com/course/480x270/1788068_1e3f_2.jpg?FVs-n7kXuNliV5ApjnM8qPB_6aNW4SNmxoQLastgKhP3n9P9lcH1hyaSO5fJ8Cp_B6ISYspafWo0_s9pfR7am4SZ90eWucR24kEri1FcIFL5mzyQ50nlJK-sSxevrOcY
3480890;1;3;Kurs Zbrush kompendium;kurs-zbrush-kompendium;Naucz się niezbędnych technik pracy w programie Zbrush.;159,99;https://img-b.udemycdn.com/course/480x270/3480890_ea09.jpg?secure=sO4YO0cgrXKHVYYXK4NODA%3D%3D%2C1607867133
1916860;1;3;Kurs ZBrush Techniki Modelowania Postaci;kurs-zbrush-techniki-modelowania-postaci;3D i Grafika;174,99;https://img-a.udemycdn.com/course/480x270/1916860_e389.jpg?REwtgiBC3E6empRapfr4kVlJmQaaboxq33QSxojKrp0yY8ps1g-4QXiML54p3LdhOSeBJUN_qHvL5QP5e2Fuwy1G6j0Dv-JUprwzVm3V5u6Xdvo2qxgysimR5U39fA
2913924;1;3;Kurs Cinema 4d oraz Vray - fundamenty;kurs-cinema-4d-oraz-vray-fundamenty;Poznaj podstawowe techniki tworzenia modeli oraz animacji za pomocą Cinema 4D oraz silnika V-ray;129,99;https://img-a.udemycdn.com/course/480x270/2913924_58a9.jpg?f4ygxlOw2bMscL39nQjVleGqJsie3hZgUS2zkp6LqaM7eAtxaaQ2kfsWPZAzkct6oqlGJ2INrk7PB5vI2NWVJn4GDTy1ikflwe6HZvDqeWLaxvCjkzvKIfaHtBu1zA
2603112;1;3;Kurs Cinema 4d - animacja i motion design;kurs-cinema-4d-animacja-i-motion-design;Kurs który dla Ciebie przygotowaliśmy przedstawia większość z bardziej popularnych technik tworzenia efektów specjalnyc;99,99;https://img-b.udemycdn.com/course/480x270/2603112_f267_3.jpg?secure=20nRqinyIgFjW5vWLqan1Q%3D%3D%2C1607867134
2718828;1;4;Podstawy RACHUNKOWOŚCI od Zera do Buchaltera początkującego;kurs-podstaw-rachunkowosci;Księgowy to konkretny zawód otwierający wiele możliwości: oprócz pracy w Księgowości i Finansach także start w Biznesie;99,99;https://img-a.udemycdn.com/course/480x270/2718828_57c2_5.jpg?fnrXkrXaiAnD4E6kU3sgq-grkfvSviwZITW0-XdpWi2vCSm5eN0fUOYVrBdQ7Gv3AtufUl-LJLFu4xWlFFrPOR04MlMfmcTM0rMPz6NSsT0JzuXv1_R49LrKs3sY9uo9
3646787;1;6;Marketing afiliacyjny 101;marketing-afiliacyjny-101-dla-poczatkujacych;Czym jest marketing afiliacyjny jak działa i jak można na nim zarobić. 20 lat doświadczenia w jednym kursie.;69,99;https://img-a.udemycdn.com/course/480x270/3646787_2052.jpg?KqR37R1RDvg7hqGcVp5uawl5XcXCTSnj655J5fykn9wrTN6VhUJCVaoyTV7a0Nfd3mLkik6Hcaeyi3on1M33o8wMLUlPdN-5TjNPT9iFP0Pe4HUBXJo9AfHT9HhwQA
