302468,2,How to read a Profit & Loss Account and Balance Sheet,how-to-read-a-profit-loss-account-and-balance-sheet,Interpret the figures on a profit and loss account and a balance sheet for both businesses and for yourself (personal),84.99,3/0/2/4/6/8/how-to-read-a-profit-loss-account-and-balance-sheet.jpg
1073430,2,Xero Online Software Bookkeeping course,online-bookkeeping-with-practice-and-job-recommendation,Basic Xero course with a Case study,69.99,1/0/7/3/4/3/0/online-bookkeeping-with-practice-and-job-recommendation.jpg
1458300,2,Financial Accounting & Excel–Comprehensive Accounting Course,financial-accounting-excelcomprehensive-accounting-course,Comprehensive accounting course to learn the accounting cycle in a practical way and pick up critical Excel fundamentals,299.99,1/4/5/8/3/0/0/financial-accounting-excelcomprehensive-accounting-course.jpg
577256,2,Finance and Accounting for Beginners to Intermediate,finance-and-accounting-for-beginners,This course will help you understand finance and accounting from beginner to more advanced areas of accounting,69.99,5/7/7/2/5/6/finance-and-accounting-for-beginners.jpg
1328284,2,FASB ASC Topic 470: Debt,fasb-asc-topic-470-debt,This course covers the proper treatment and resolution of the most common debt classification and disclosure issues.,234.99,1/3/2/8/2/8/4/fasb-asc-topic-470-debt.jpg
1663526,2,Sage 300 (Accpac) ERP for Auditors/Auditing & Accountants,sage-accpac-for-auditors,Competently use accounting software in your audit work. Get more out of your EPR system.,84.99,1/6/6/3/5/2/6/sage-accpac-for-auditors.jpg
1635660,2,Bank Reconciliations & Cash Internal Controls,cash-bank-reconciliations-cash-internal-controls,"Internal controls, bank reconciliations, and internal controls related to checking account",479.99,1/6/3/5/6/6/0/cash-bank-reconciliations-cash-internal-controls.jpg
59725,2,Small Business and Managerial Accounting Training Tutorial,small-business-and-managerial-accounting-training-tutorial,Learn the basics of small business and managerial accounting with this complete course.,69.99,5/9/7/2/5/small-business-and-managerial-accounting-training-tutorial.jpg
1564910,2,Financial Accounting-Adjusting Entries & Financial Statement,financial-accounting-adjusting-entries-financial-statement,"Adjusting entry creation, posting adjusting entries to a worksheet, creating financial statements from the trial balance",479.99,1/5/6/4/9/1/0/financial-accounting-adjusting-entries-financial-statement.jpg
471440,2,Accounting and Finance for Bankers - A Comprehensive Study,crash-course-on-financial-management,Understand and appreciate Accounting and Finance nuances relevant for Bankers,479.99,4/7/1/4/4/0/crash-course-on-financial-management.jpg
